Time [min],Conversion [%]
1,1.6088
2,4.3528
3,7.6976
4,9.1572
5,15.5836
6,14.5712
7,17.9748
8,21.4328
9,26.3844
10,24.3948
11,27.8996
12,31.1808
13,26.74
14,31.8408
15,33.2812
16,36.4868
17,38.076
18,42.772
19,42.7508
20,38.314
21,40.9792
22,48.1
23,44.3896
24,44.5804
25,46.7952
26,49.962
27,45.4188
28,49.7196
29,49.8552
30,49.0068
31,49.5104
32,50.17
33,47.3236
34,51.1724
35,49.6048
36,51.2696
37,51.29
38,53.7248
39,53.7144
40,55.1532
41,57.1768
42,57.89
43,54.7304
44,56.1436
45,59.142
46,59.2808
47,53.1528
48,58.782
49,56.904
50,59.448
51,60.194
52,59.2544
53,60.7036
54,61.3008
55,61.0832
56,61.766
57,61.618
58,60.7756
59,61.4608
60,65.01
61,61.4308
62,63.7408
63,62.4032
64,64.5496
65,63.1348
66,62.1204
67,65.2892
68,64.3772
69,64.1104
70,65.1464
71,65.4704
72,63.3956
73,66.5472
74,63.3276
75,64.7712
76,64.4516
77,66.456
78,66.2444
79,65.1596
80,63.7508
81,64.6884
82,69.1676
83,66.6628
84,67.8752
85,69.4284
86,67.414
87,68.312
88,68.3416
89,66.4884
90,67.4644
91,69.218
92,69.1496
93,68.868
94,67.5504
95,68.6392
96,68.8524
97,69.0096
98,66.95
99,68.1976
100,69.1916
101,66.7524
102,68.13
103,70.0988
104,69.0448
105,68.644
106,68.5408
107,70.2404
108,70.1604
109,70.2236
110,68.3876
111,69.894
112,70.1532
113,74.926
114,68.9816
115,69.5332
116,71.1472
117,71.0408
118,72.3228
119,72.3892
120,72.1068
121,70.664
122,69.8068
123,69.5324
124,71.0184
125,71.3776
126,70.806
127,69.5208
128,70.38
129,69.1276
130,69.5576
131,69.9332
132,68.9908
133,68.7216
134,69.546